Duration_12000
8760,51g
8760,17b
8770,48g
8770,29b
8780,15b
8780,44g
8790,27b
8790,45g
880,17b
8800,46g
8800,10b
8810,37g
8810,22b
8816,46g
8820,10b
8820,37g
8830,46g
8830,22b
8840,12b
8840,48g
8850,24b
8850,39g
8856,48g
8860,39g
8860,12b
8870,13b
8870,25b
8870,48g
8880,49g
8890,56g
890,48g
890,29b
8900,26b
8900,55g
8900,14b
8910,53g
8920,55g
8920,15b
8920,27b
8960,14b
8960,37g
8970,26b
8970,45g
8980,44g
8980,14b
8986,45g
8990,26b
8990,44g
90,36g
900,46g
900,17b
9000,47g
9000,16b
9010,45g
9010,28b
9020,44g
9020,16b
9026,45g
9030,28b
9030,44g
9036,40g
904,48g
9040,18b
9040,42g
9050,30b
9050,49g
9060,47g
9060,18b
9066,49g
9070,30b
9070,47g
9074,49g
9080,52g
9080,18b
9090,30b
9090,49g
910,29b
9100,47g
9100,16b
9110,49g
9110,28b
9120,14b
9120,37g
9130,45g
9130,26b
914,43g
9140,14b
9140,44g
9144,45g
9150,26b
9150,44g
9160,16b
9160,47g
9170,45g
9170,28b
9180,44g
9180,16b
9184,45g
9190,28b
9190,44g
9194,40g
920,17b
9200,18b
9200,42g
9210,49g
9210,30b
9220,47g
9220,20b
9224,49g
9230,47g
9230,32b
9234,49g
924,44g
9240,53g
9240,21b
9250,33b
9250,49g
9260,23b
9260,47g
9270,49g
9270,35b
9280,14b
9280,37g
9290,45g
9290,26b
930,29b
9300,44g
9300,14b
9304,45g
9310,26b
9310,44g
9320,47g
9320,16b
9330,45g
9330,28b
934,48g
9340,16b
9340,44g
9344,45g
9350,28b
9350,44g
9354,40g
9360,42g
9360,18b
9370,49g
9370,30b
9380,18b
9380,47g
9384,49g
9390,47g
9390,30b
9394,49g
940,39g
940,17b
9400,52g
9400,18b
9410,49g
9410,30b
9420,45g
9420,16b
9430,46g
9430,28b
9440,47g
9440,11b
9450,38g
9450,23b
9454,47g
9460,38g
9460,11b
9470,23b
9470,47g
9480,49g
9480,13b
9490,40g
9490,25b
9496,49g
950,40g
950,29b
9500,13b
9500,40g
9510,49g
9510,25b
9520,14b
9520,50g
9530,26b
9540,15b
9550,27b
9550,51g
9560,16b
9560,52g
9570,28b
9580,16b
9590,28b
960,17b
960,41g
9600,37g
9600,14b
9610,45g
9610,26b
9620,14b
9620,44g
9626,45g
9630,26b
9630,44g
9640,16b
9640,47g
9650,45g
9650,28b
9660,44g
9660,16b
9666,45g
9670,44g
9670,28b
9676,40g
9680,42g
9680,18b
9690,30b
